Linie;KM;Abkuerzung Bahnhof;Haltestellen Name;Perrontyp;Perron Nummer;Kundengleisnummer;Perronkantenlänge;Perronkantenhöhe;Bemerkung Höhe;Hilfstritt;Höhenverlauf;Material;Bemerkung Material;Kantenart;Bemerkung Kantenkrone;Auftritt;GO_IPID;Didok-Nummer;IPID;FID;1_koord;2_koord;BPUIC;lod
250;92.961;BNBS;Bern Bumpliz Sud;Aussenperron;1;1;129.07;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Andere;1551809;4106;1551807;35353987;46.9372497024, 7.39495066006;46.93803434767823, 7.396199960842508;8504106;http://lod.opentransportdata.swiss/didok/8504106
250;92.961;BNBS;Bern Bumpliz Sud;Aussenperron;1;1;92.08;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1551809;4106;4737340;135193406;46.9372495404, 7.39495059453;46.93668985017273, 7.3940592378426695;8504106;http://lod.opentransportdata.swiss/didok/8504106
250;92.875;BNBS;Bern Bumpliz Sud;Aussenperron;2;2;220.22;P 55;;nicht vorhanden;konstant;Fertigelement;Perronrandwinkel 95/60/12cm;Beton;;Gitterrost;1551817;4106;4491114;35340545;46.9366728274, 7.39418528581;46.93801128346143, 7.396317361557105;8504106;http://lod.opentransportdata.swiss/didok/8504106
450;102.827;BNWD;Bern Wankdorf;Mittelperron;5/6;5;226.19;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;3302759;16161;3302757;35340269;46.9681179029, 7.46705375176;46.96742644332394, 7.464260649036076;8516161;http://lod.opentransportdata.swiss/didok/8516161
210;62.187;BV;Bevaix;Aussenperron;2;2;21.42;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;276476;4206;17276592;271756639;46.9289827447, 6.81104208442;46.929158432015356, 6.811157723162315;8504206;http://lod.opentransportdata.swiss/didok/8504206
210;62.273;BV;Bevaix;Hausperron;1;1;149.64;P 35;incl. 15cm HT;vorhanden;nicht konstant;Ortsbeton;;Naturstein;;Kein;2119002;4206;2119001;35321276;46.9296635072, 6.81159952521;46.93089172598529, 6.812403604232658;8504206;http://lod.opentransportdata.swiss/didok/8504206
100;47.823;BEX;Bex;Aussenperron;1;1;320.02;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;13766941;1402;13766911;276108168;46.2491937996, 7.00165892248;46.25193217326741, 7.0003899866926576;8501402;http://lod.opentransportdata.swiss/didok/8501402
600;131.819;BIA;Biasca;Mittelperron;2/3;2;422.67;P 55;;nicht vorhanden;;Fertigelement;;Beton;;Gitterrost;407299;5209;17413092;312931915;46.3523278541, 8.97426202345;46.34861297012458, 8.975416153751619;8505209;http://lod.opentransportdata.swiss/didok/8505209
600;131.615;BIA;Biasca;Dienstperron;1;;262.17;<=P20;P0;nicht vorhanden;konstant;Fertigelement;Acciaio;Andere;Acciaio;Kein;13454007;5209;13453972;277377429;46.3541393815, 8.97386325262;46.35645184277389, 8.973194286622382;8505209;http://lod.opentransportdata.swiss/didok/8505209
600;131.615;BIA;Biasca;Dienstperron;1;;262.13;<=P20;P0;nicht vorhanden;konstant;Fertigelement;Acciaio;Andere;Acciaio;Kein;13454007;5209;13453986;277377418;46.3541374089, 8.97384681119;46.356449641605955, 8.973178773687067;8505209;http://lod.opentransportdata.swiss/didok/8505209
410;96.154;BIM;Biel Mett;Aussenperron;1;1;150.06;P 30;;nicht vorhanden;konstant;Fertigelement;;Andere;Element prefabrique;Kein;1843407;4419;1843405;35329005;47.145404602, 7.27326314072;47.14441834620096, 7.271920580911092;8504419;http://lod.opentransportdata.swiss/didok/8504419
210;104.392;BI;Biel/Bienne;Mittelperron;4/5;5;354.64;P 55;;nicht vorhanden;konstant;Fertigelement;;Andere;Fertigelement;Andere;1962585;4300;11846015;146237105;47.1329771587, 7.24139159142;47.13165352480758, 7.245643222816499;8504300;http://lod.opentransportdata.swiss/didok/8504300
210;104.375;BI;Biel/Bienne;Mittelperron;4/5;4;23.96;P 55;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;1962585;4300;15298921;239469704;47.1331063965, 7.2412297527;47.13319483113167, 7.240941712735623;8504300;http://lod.opentransportdata.swiss/didok/8504300
210;104.375;BI;Biel/Bienne;Mittelperron;4/5;4;23.7;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;1962585;4300;16179600;251982205;47.1331063965, 7.2412297527;47.13301488389216, 7.241511950811011;8504300;http://lod.opentransportdata.swiss/didok/8504300
210;104.391;BI;Biel/Bienne;Mittelperron;6/7;7;263.96;P 55;;nicht vorhanden;konstant;Fertigelement;;Andere;Ferigelement;Andere;1962586;4300;11846622;146388477;47.1328708132, 7.24130343679;47.131889202920775, 7.244466004447857;8504300;http://lod.opentransportdata.swiss/didok/8504300
410;99.211;BI;Biel/Bienne;Mittelperron;9/10;10;266.25;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;3725668;4300;3725667;35312838;47.1317103631, 7.24437377361;47.132740362025444, 7.241220881441336;8504300;http://lod.opentransportdata.swiss/didok/8504300
711;12.519;BIR;Birmensdorf ZH;Aussenperron;2;2;318.18;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;640397;2221;640401;35338203;47.3583042277, 8.43521442025;47.35711518289614, 8.439045098502529;8502221;http://lod.opentransportdata.swiss/didok/8502221
647;5.184;BIRR;Birr;Mittelperron;5/6;6;220.1;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;191202;2247;191172;35313741;47.4368320604, 8.21749976237;47.43488278909812, 8.217999888407178;8502247;http://lod.opentransportdata.swiss/didok/8502247
651;29.532;BWL;Birrwil;Zwischenperron;1/2;2;111.97;P 35;;nicht vorhanden;nicht konstant;Fertigelement;;Beton;;Kein;2554154;2033;2554151;35319624;47.2880099846, 8.19908375003;47.28901363929735, 8.198961808225004;8502033;http://lod.opentransportdata.swiss/didok/8502033
852;6.793;BZN;Bischofszell Nord;Aussenperron;3;3;117.11;P 42;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;1809404;6215;1809402;35320336;47.5005804279, 9.23398036117;47.50131667471467, 9.235091546807423;8506215;http://lod.opentransportdata.swiss/didok/8506215
735;57.343;BLU;Blumenau;Aussenperron;1;1;162.41;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;1775584;3113;18043072;315206175;47.2236920359, 8.84241126707;47.22386426750577, 8.840281905233624;8503113;http://lod.opentransportdata.swiss/didok/8503113
250;5.676;BOSS;Bossiere;Aussenperron;1;1;170.54;P 20;;nicht vorhanden;konstant;Ortsbeton;;Beton;;Kein;2237397;4003;2237390;35336552;46.5102647662, 6.69825692285;46.509279200895506, 6.699956657925425;8504003;http://lod.opentransportdata.swiss/didok/8504003
824;97.436;BOT;Bottighofen;Hausperron;1;1;120.47;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;2774821;6127;2774820;35309725;47.6403085391, 9.21399971733;47.64093777952395, 9.212695053390435;8506127;http://lod.opentransportdata.swiss/didok/8506127
131;22.858;BOU;Bouveret;Aussenperron;2;2;120.18;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Gitterrost;3817649;1426;3817642;35328858;46.3857055144, 6.85398891421;46.38634234055205, 6.852726537763273;8501426;http://lod.opentransportdata.swiss/didok/8501426
219;29.434;BOV;Boveresse;Hausperron;1;;96.24;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;2324677;4213;2324675;35346599;46.9192371022, 6.59576182177;46.91873645743197, 6.594731039884907;8504213;http://lod.opentransportdata.swiss/didok/8504213
100;145.329;BR;Brig;Hausperron;1;1;390.57;P 55;;nicht vorhanden;konstant;Fertigelement;;Andere;Fertigelement;Gitterrost;1718934;1609;2365913;35372707;46.3194860753, 7.98524196397;46.31946435076564, 7.990312711073985;8501609;http://lod.opentransportdata.swiss/didok/8501609
100;145.448;BR;Brig;Mittelperron;6/7;7;98.13;P 35;;nicht vorhanden;konstant;Andere;Stahl;Beton;;Andere;1718989;1609;2365944;35345314;46.3198473291, 7.98679204016;46.31974011626673, 7.985527639935458;8501609;http://lod.opentransportdata.swiss/didok/8501609
100;145.448;BR;Brig;Mittelperron;6/7;6;97.65;P 35;;nicht vorhanden;konstant;Andere;Stahl;Beton;;Andere;1718989;1609;2365945;35337111;46.3197919755, 7.98679249524;46.31972795589208, 7.985529088745165;8501609;http://lod.opentransportdata.swiss/didok/8501609
100;145.533;BR;Brig;Mittelperron;8/9;9;270.85;P 55;;nicht vorhanden;konstant;Fertigelement;;Andere;Fertigelement;Gitterrost;1719030;1609;1719004;35362948;46.319977282, 7.98789977865;46.3200174475275, 7.9914121162435645;8501609;http://lod.opentransportdata.swiss/didok/8501609
